concentration_CH4,concentration_CO2,concentration_H2,concentration_H2O,concentration_O2,pressure_bar,temperature_kelvin
0.03,0.01,0.00000008,0.0123,0.24,1.1187,321.17
0.015,0.02,0.00000008,0.0123,0.26,1.1121,321.74
0.00000163,0.06,0.00000008,0.0123,0.22,1.0863,316.3
0.01,0.04,0.00000008,0.0123,0.16,1.0926,322.78
0.00000163,0.07,0.00000008,0.0123,0.16,1.0991,317.83
0.05,0.01,0.02,0.0123,0.25,1.1228,321.49
0.025,0.01,0.00000008,0.0123,0.2,1.1152,320.58
0.01,0.03,0.02,0.0123,0.26,1.1301,322.17
0.005,0.01,0.00000008,0.0123,0.3,1.0599,315.86
0.01,0.02,0.00000008,0.0123,0.25,1.0679,319.73
0.04,0.05,0.00000008,0.0123,0.2,1.1562,327.07
0.015,0.01,0.00000008,0.0123,0.5,1.0954,319.17
0.01,0.06,0.00000008,0.0123,0.28,1.1041,324.67
0.02,0.03,0.01,0.0123,0.2,1.0787,323
0.01,0.0004,0.05,0.0123,0.17,1.0689,309.32
0.07,0.03,0.00000008,0.0123,0.24,1.155,326.41
0.00000163,0.02,0.00000008,0.0123,0.14,1.0294,307.79
0.05,0.01,0.04,0.0123,0.21,1.1197,322.22
0.01,0.03,0.04,0.0123,0.24,1.1271,321.79
0.01,0.02,0.00000008,0.0123,0.06,1.069,316.86
0.00000163,0.03,0.00000008,0.0123,0.2,1.0547,310.8
0.05,0.02,0.00000008,0.0123,0.25,1.1355,324.34
0.00000163,0.06,0.00000008,0.0123,0.2,1.1018,317.19
0.01,0.01,0.04,0.0123,0.1,1.1044,317.76
0.05,0.01,0.08,0.0123,0.22,1.0566,320.86
0.00000163,0.05,0.00000007,0.0123,0.2,1.0796,314.85
0.07,0.0004,0.00000008,0.0123,0.18,1.0995,319.08
0.05,0.0004,0.01,0.0123,0.2,1.0963,314.02
0.00000163,0.04,0.00000008,0.0123,0.4,1.0917,314.13
0.015,0.0004,0.00000009,0.0123,0.21,1.064,316.37
0.00000163,0.01,0.03,0.0123,0.25,1.0521,303.72
0.025,0.04,0.00000008,0.0123,0.16,1.1423,325.31
0.03,0.03,0.00000008,0.0123,0.28,1.1438,324.99
0.00000163,0.07,0.00000008,0.0123,0.28,1.0724,316.35
0.00000163,0.07,0.00000008,0.0123,0.12,1.0966,317.81
0.03,0.01,0.08,0.0123,0.22,1.0566,319.46
0.01,0.0004,0.00000008,0.0123,0.08,1.0294,308.73
0.00000163,0.03,0.05,0.0123,0.22,1.0748,309.73
0.05,0.02,0.00000008,0.0123,0.19,1.1362,325.66
0.00000163,0.0004,0.00000008,0.0123,0.18,1.0306,288.59
0.005,0.01,0.00000008,0.0123,0.16,1.0548,315.59
0.00000163,0.03,0.04,0.0123,0.21,1.0728,309.34
0.02,0.01,0.03,0.0123,0.15,1.0545,318.81
0.03,0.07,0.02,0.0123,0.23,1.1566,328.06
0.01,0.02,0.00000008,0.0123,0.18,1.066,319.57
0.005,0.01,0.00000007,0.0123,0.26,1.061,315.83
0.005,0.03,0.00000008,0.0123,0.21,1.079,320.29
0.00000163,0.03,0.02,0.0123,0.22,1.0758,309.23
0.015,0.0004,0.00000008,0.0123,0.24,1.0637,316.39
0.00000163,0.07,0.02,0.0123,0.21,1.1044,315.5
0.03,0.01,0.03,0.0123,0.16,1.1215,320.68
0.02,0.02,0.00000008,0.0123,0.3,1.1339,322.69
0.015,0.02,0.00000008,0.0123,0.12,1.1094,321.11
